排名,学校名称,省市,类型,总分
1,山东协和学院,山东,医药,102.8
2,珠海科技学院,广东,综合,98.8
3,浙江树人学院,浙江,理工,98.4
4,武汉东湖学院,湖北,理工,91.7
5,黄河科技学院,河南,理工,89.9
6,齐鲁理工学院,山东,综合,87.1
7,西京学院,陕西,理工,85.5
8,大连东软信息学院,辽宁,理工,85.2
9,无锡太湖学院,江苏,综合,84.4
10,武昌理工学院,湖北,理工,83.9
11,广州南方学院,广东,综合,83.2
12,烟台南山学院,山东,理工,82.6
13,潍坊科技学院,山东,综合,82
14,三亚学院,海南,综合,81.7
15,三江学院,江苏,综合,81.5
16,长沙医学院,湖南,医药,80.6
17,北京城市学院,北京,综合,77.5
18,齐鲁医药学院,山东,医药,77.1
19,重庆人文科技学院,重庆,综合,76.6
20,郑州科技学院,河南,理工,76.2
21,茅台学院,贵州,综合,75.9
22,上海建桥学院,上海,综合,75.1
23,广州新华学院,广东,综合,74.3
24,信阳学院,河南,师范,74.2
25,文华学院,湖北,理工,73.3
26,成都锦城学院,四川,综合,71
27,广东白云学院,广东,理工,70.5
27,广州城市理工学院,广东,理工,70.5
29,南宁学院,广西,理工,70.1
30,皖江工学院,安徽,综合,69.2
31,南昌理工学院,江西,综合,68.5
32,武昌首义学院,湖北,理工,68
33,沈阳工学院,辽宁,理工,67.9
34,成都东软学院,四川,理工,67.6
35,江西科技学院,江西,综合,67.4
35,青岛滨海学院,山东,综合,67.4
37,中原科技学院,河南,师范,67
38,青岛黄海学院,山东,综合,66.9
39,安徽新华学院,安徽,理工,66.8
40,商丘学院,河南,综合,66.2
41,广州软件学院,广东,理工,65.7
42,成都文理学院,四川,师范,64.7
42,黑龙江东方学院,黑龙江,综合,64.7
44,山东英才学院,山东,综合,64.3
45,宁夏理工学院,宁夏,综合,64.2
46,东莞城市学院,广东,理工,63.8
47,吉林建筑科技学院,吉林,理工,63.6
47,西安培华学院,陕西,综合,63.6
47,烟台理工学院,山东,综合,63.6
50,马鞍山学院,安徽,理工,63.5
50,西安明德理工学院,陕西,综合,63.5
52,郑州西亚斯学院,河南,综合,63.1
53,阳光学院,福建,理工,63
54,西安外事学院,陕西,综合,62.7
55,烟台科技学院,山东,综合,62.6
56,长春人文学院,吉林,综合,62.4
57,晋中信息学院,山西,农业,62.3
58,武汉晴川学院,湖北,综合,62.1
59,安徽信息工程学院,安徽,理工,61.5
59,汉口学院,湖北,理工,61.5
61,武汉城市学院,湖北,理工,61.4
62,武汉华夏理工学院,湖北,理工,61.3
63,泰山科技学院,山东,综合,60.9
64,郑州工商学院,河南,理工,60.7
65,淮北理工学院,安徽,师范,60.6
65,南通理工学院,江苏,理工,60.6
67,潍坊理工学院,山东,综合,60.4
